1922-08-11T08:19:41.000Z,1922,08,34.989,27.176,20,6.3,mw,,,,,iscgem,iscgem911973,2015-05-13T18:52:41.000Z,eastern Mediterranean Sea,earthquake,,,,,automatic,iscgem,iscgem
1923-08-01T08:16:27.000Z,1923,08,34.786,25.16,15,5.6,mw,,,,,iscgem,iscgem911481,2015-05-13T18:52:41.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1948-02-09T12:58:18.000Z,1948,02,35.631,27.153,15,7.3,mw,,,,,iscgem,iscgem897184,2019-12-29T20:15:08.025Z,Dodecanese Islands, Greece,earthquake,,,,,automatic,iscgem,iscgem
1950-09-23T06:23:46.000Z,1950,09,34.683,25.727,45,5.5,mw,,,,,iscgem,iscgem895856,2015-05-13T18:52:46.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1951-08-20T22:51:50.000Z,1951,08,34.778,23.989,35,5.3,mw,,,,,iscgemsup,iscgemsup894640,2015-07-13T17:02:22.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1951-10-01T01:26:37.000Z,1951,10,34.41,26.483,15,5.4,mw,,,,,iscgemsup,iscgemsup894761,2015-07-13T17:02:22.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1952-03-25T03:35:17.000Z,1952,03,34.86,23.229,15,5.3,mw,,,,,iscgemsup,iscgemsup892676,2015-07-13T17:02:23.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1952-12-17T23:04:02.000Z,1952,12,34.474,24.346,25,6.5,mw,,,,,iscgem,iscgem893906,2019-12-29T18:29:41.600Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1953-02-07T22:31:09.000Z,1953,02,34.727,24.131,15,5.5,mw,,,,,iscgem,iscgem891486,2015-05-13T18:52:48.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1955-04-22T10:02:25.000Z,1955,04,34.375,23.945,15,5.5,mw,,,,,iscgem,iscgem889454,2015-05-13T18:52:49.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1956-06-11T01:11:26.000Z,1956,06,34.242,26.247,15,5.3,mw,,,,,iscgemsup,iscgemsup888355,2015-07-13T17:02:23.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1956-07-30T05:41:04.000Z,1956,07,35.558,25.732,15,5.6,mw,,,,,iscgem,iscgem888535,2015-05-13T18:52:50.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1956-07-30T09:15:00.000Z,1956,07,35.777,26.095,15,6.1,mw,,,,,iscgem,iscgem888537,2015-05-13T18:52:50.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1956-07-30T10:40:00.000Z,1956,07,36,25.917,15,5.7,mw,,,,,iscgem,iscgem888539,2015-05-13T18:52:50.000Z,Dodecanese Islands, Greece,earthquake,,,,,automatic,iscgem,iscgem
1956-09-06T11:46:38.000Z,1956,09,35.664,25.961,15,5.8,mw,,,,,iscgem,iscgem888663,2015-05-13T18:52:50.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1956-09-16T18:07:38.000Z,1956,09,35.516,25.778,15,5.4,mw,,,,,iscgem,iscgem888699,2015-05-13T18:52:50.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1957-10-05T11:36:48.000Z,1957,10,34.402,26.762,15,5.4,mw,,,,,iscgemsup,iscgemsup887321,2015-07-13T17:02:23.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1958-07-15T07:59:20.000Z,1958,07,35.36,23.668,15,5.3,mw,,,,,iscgemsup,iscgemsup884745,2015-07-13T17:02:23.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1959-05-14T06:37:00.000Z,1959,05,35.113,24.632,35,6.1,mw,,,,,iscgem,iscgem882012,2019-12-28T21:05:32.011Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1959-06-10T04:16:08.000Z,1959,06,35.484,23.549,35,5.4,mw,,,,,iscgemsup,iscgemsup882208,2015-07-13T17:02:23.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1959-11-29T23:49:46.000Z,1959,11,35.939,23.694,15,5.2,mw,,,,,iscgemsup,iscgemsup883379,2015-07-13T17:02:23.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1960-02-01T11:59:45.000Z,1960,02,35.19,23.035,35,5.5,mw,,,,,iscgem,iscgem878165,2015-05-13T18:52:54.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1962-04-28T11:19:03.000Z,1962,04,36.021,26.86,65,5.8,mw,,,,,iscgem,iscgem874645,2015-05-13T18:52:56.000Z,Dodecanese Islands, Greece,earthquake,,,,,automatic,iscgem,iscgem
1962-04-28T12:43:52.000Z,1962,04,35.978,26.755,65,5.6,mw,,,,,iscgem,iscgem874646,2015-05-13T18:52:56.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1962-09-10T09:36:25.000Z,1962,09,34.587,26.78,25,5.6,mw,,,,,iscgem,iscgem875315,2015-05-13T18:52:56.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1965-04-09T23:57:06.000Z,1965,04,35.047,24.318,65,6.2,mw,,,,,iscgem,iscgem857618,2019-12-28T17:21:42.314Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1965-04-27T14:09:10.000Z,1965,04,35.626,23.425,60,6.1,mw,,,,,iscgem,iscgem858076,2019-12-28T17:22:12.593Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1966-05-09T00:42:56.000Z,1966,05,34.425,26.455,25,6,mw,,,,,iscgem,iscgem847303,2015-05-13T18:53:00.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1969-06-12T15:13:32.000Z,1969,06,34.414,25.169,22.4,6.1,mw,,,,,iscgem,iscgem807959,2015-05-13T18:53:03.000Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1972-05-04T21:40:01.000Z,1972,05,35.182,23.55,35,6.3,mw,,,,,iscgem,iscgem773147,2019-12-23T21:14:31.443Z,Crete, Greece,earthquake,,,,,automatic,iscgem,iscgem
1973-04-06T14:13:54.200Z,1973,04,34.431,25.25,16,5.1,mb,,,,,us,usp000019b,2014-11-06T23:21:10.913Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1973-11-29T10:57:42.700Z,1973,11,35.181,23.797,26,5.7,mb,,,,,us,usp00004bj,2017-04-26T17:27:15.156Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1973-12-05T03:50:51.400Z,1973,12,35.44,26.447,80,5.1,mb,,,,,us,usp00004ed,2014-11-06T23:21:21.724Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1973-12-24T20:22:45.400Z,1973,12,34.706,24.623,37,5.2,ms,,,,,us,usp00004n5,2014-11-06T23:21:21.974Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1974-04-07T14:22:47.100Z,1974,04,34.75,24.699,29,5,ms,,,,,us,usp00005wn,2014-11-06T23:21:23.639Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1975-09-22T00:44:57.700Z,1975,09,35.288,26.232,63,5.3,mb,,,,,us,usp0000cwn,2014-11-06T23:21:32.094Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1975-12-10T18:12:28.700Z,1975,12,34.15,25.781,52,5.1,mb,,,,,us,usp0000dvq,2014-11-06T23:21:32.906Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1976-06-25T07:01:08.000Z,1976,06,35.088,23.311,33,5.4,ms,,,,,us,usp0000h1h,2014-11-06T23:21:35.891Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1976-11-13T06:09:46.500Z,1976,11,34.971,23.325,29,5.1,mb,,,,,us,usp0000ka9,2014-11-06T23:21:38.201Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1977-08-18T09:27:40.000Z,1977,08,35.225,23.395,42,5.3,ms,,,,,us,usp0000q5g,2016-11-09T23:16:25.718Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1977-09-10T06:31:41.800Z,1977,09,34.933,23.015,33,5.1,ms,,,,,us,usp0000qjv,2014-11-06T23:21:44.075Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1977-09-11T23:19:23.700Z,1977,09,35.048,23.029,33,6,ms,,,,,us,usp0000qkc,2016-11-09T23:27:26.998Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1977-10-22T10:02:09.100Z,1977,10,34.95,23.161,33,5,mb,,,,,us,usp0000r65,2014-11-06T23:21:44.856Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1978-01-29T10:23:43.300Z,1978,01,34.929,25.659,35,5.1,mb,,,,,us,usp0000srm,2014-11-06T23:21:46.780Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1978-03-07T22:33:46.700Z,1978,03,34.499,25.258,42,5.4,mb,,,,,us,usp0000t9k,2016-11-09T22:01:42.865Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1978-11-28T18:02:20.100Z,1978,11,36.162,26.371,123,5,mb,,,,,us,usp0000xnn,2014-11-06T23:21:54.148Z,Dodecanese Islands, Greece,earthquake,,,,,reviewed,us,us
1979-05-15T06:59:21.200Z,1979,05,34.53,24.437,33,5.6,ms,,,,,us,usp00010nh,2016-11-09T22:31:30.577Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1979-06-15T11:34:15.600Z,1979,06,34.955,24.243,33,5.6,mb,,,,,us,usp00011ae,2016-11-09T22:45:53.802Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1979-07-23T11:41:54.600Z,1979,07,35.483,26.322,33,5.2,mb,,,,,us,usp000120y,2016-11-09T23:02:58.991Z,Crete, Greece,earthquake,,,,,reviewed,us,us
1981-06-01T08:47:26.300Z,1981,06,35.445,26.307,78.2,5.1,mb,,,,1.1,us,usp0001dz5,2014-11-07T00:29:33.911Z,Crete, Greece,earthquake,,3.4,,64,reviewed,us,us
1982-09-20T01:22:11.450Z,1982,09,34.355,26.029,36.9,5,ms,,,,1.1,us,usp0001pq1,2014-11-07T00:31:54.195Z,Crete, Greece,earthquake,,4.2,,1,reviewed,us,us
1982-09-21T19:51:13.870Z,1982,09,34.356,26.05,32.4,5.2,mb,,,,1.1,us,usp0001pre,2014-11-07T00:31:54.460Z,Crete, Greece,earthquake,,6.1,,64,reviewed,us,us
1983-01-03T00:12:25.640Z,1983,01,34.533,24.383,73.5,5.4,mb,,,,0.9,us,usp0001ryw,2016-11-09T21:35:24.056Z,Crete, Greece,earthquake,,2.6,,73,reviewed,us,us
1983-03-19T21:41:42.880Z,1983,03,35.081,25.35,65,5.7,mb,,,,1,us,usp0001ts5,2016-11-09T22:06:45.603Z,Crete, Greece,earthquake,,,,64,reviewed,us,us
1984-01-14T22:15:03.650Z,1984,01,35.228,24.492,64.1,5,mb,,,,1.1,us,usp000218q,2014-11-07T00:34:22.977Z,Crete, Greece,earthquake,,2.7,,57,reviewed,us,us
1984-01-23T20:14:02.600Z,1984,01,35.179,27.219,33,5,mb,,,,1.2,us,usp00021gw,2014-11-07T00:34:24.047Z,Dodecanese Islands, Greece,earthquake,,,,3,reviewed,us,us
1984-03-13T20:35:04.500Z,1984,03,34.78,23.78,32,5,mb,,,,1.3,us,usp00022mw,2014-11-07T00:34:37.938Z,Crete, Greece,earthquake,,4.7,,62,reviewed,us,us
1984-06-21T10:43:42.120Z,1984,06,35.36,23.238,39.1,6.2,mw,,,,1.2,us,usp000255c,2017-04-26T17:37:54.360Z,Crete, Greece,earthquake,,3.1,,,reviewed,us,hrv
1985-09-27T16:39:48.750Z,1985,09,34.506,26.599,61.4,5.6,mw,,,,1.2,us,usp0002k6x,2016-11-09T23:35:14.085Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
1986-05-22T19:52:21.870Z,1986,05,34.63,26.528,43,5.5,mw,,,,1.1,us,usp0002uas,2016-11-09T22:35:03.635Z,Crete, Greece,earthquake,,5.2,,,reviewed,us,hrv
1986-10-05T05:12:15.980Z,1986,10,34.672,23.317,15.1,5,mb,,,,1.2,us,usp0002ypt,2014-11-07T00:39:07.340Z,Crete, Greece,earthquake,,,,63,reviewed,us,us
