Trafigura,Commodities,4316
Fannie Mae,Financials,7400
AmerisourceBergen,Pharmaceuticals,20500
Chevron,Oilandgas,48600
Cardinal Health,Pharmaceuticals,50200
McKesson,Healthcare,70000
ExxonMobil,Oilandgas,71000
BP,Oilandgas,73000
Saudi Aramco,Oilandgas,76418
Mitsubishi,Conglomerate,79994
Royal Dutch Shell,Oilandgas,81000
Glencore,Commodities,85504
Alphabet,Internet,98771
Lukoil,Oilandgas,102500
AXA,Financials,104065
Total,Oilandgas,104460
Apple,Electronics,132000
Allianz,Financials,142460
Verizon,Telecommunications,144500
SAICMotor,Automotive,147738
General Motors,Automotive,173000
Costco,Retail,194000
Ford,Automotive,199000
Honda,Automotive,219772
SamsungElectronics,Electronics,221579
AT&T,Telecommunications,254000
JPMorganChase,Financials,256105
GeneralElectric,Conglomerate,283000
CVSHealth,Healthcare,295000
Daimler,Automotive,298683
WalgreensBootsAlliance,Retail,299000
UnitedHealth,Healthcare,300000
ChinaStateConstruction,Construction,302827
BankofChina,Financials,310119
Exor,Financials,314790
PingAnInsurance,Financials,342550
ChinaConstructionBank,Financials,366996
Toyota,Automotive,370870
BerkshireHathaway,Conglomerate,389000
ICBC,Financials,449296
Kroger,Retail,453000
Gazprom,Oilandgas,466100
AgriculturalBankofChina,Financials,477526
Sinopec,Oilandgas,619151
Amazon,Retail,647000
Volkswagen,Automotive,664496
Foxconn,Electronics,667680
StateGrid,Electricity,917717
ChinaNationalPetroleum,Oilandgas,1382401
Walmart,Retail,2200000
