USA,169162
Brazil,104263
Mexico,54666
India,47472
UK,41329
Italy,35225
France,30371
Spain,28579
Peru,21713
Iran,19162
Russia,15384
Colombia,13837
SouthAfrica,11010
Chile,10205
Belgium,9900
Germany,9276
Canada,9006
Netherlands,6165
Pakistan,6139
Ecuador,5984
Indonesia,5968
Turkey,5891
Sweden,5770
Iraq,5588
Argentina,5213
Egypt,5085
China,4634
Bolivia,3827
Bangladesh,3557
SaudiArabia,3303
Romania,2860
Philippines,2426
Guatemala,2267
Ukraine,1992
Switzerland,1991
Poland,1844
Ireland,1774
Portugal,1764
Panama,1703
Honduras,1533
Kyrgyzstan,1487
DominicanRepublic,1371
Afghanistan,1363
Algeria,1333
Kazakhstan,1269
Japan,1059
Nigeria,956
Moldova,863
Armenia,809
Sudan,792
Austria,725
Serbia,661
Israel,643
Denmark,621
Hungary,607
Belarus,595
ElSalvador,584
Morocco,556
Oman,551
NorthMacedonia,532
Yemen,528
Azerbaijan,497
Kuwait,489
Bulgaria,482
Ethiopia,463
BosniaandHerzegovina,458
Kenya,456
Cameroon,401
Czechia,391
Australia,361
UAE,358
Finland,333
S.Korea,305
CostaRica,263
Norway,257
Venezuela,247
Zambia,246
Senegal,244
DRC,234
Ghana,223
Greece,216
Uzbekistan,215
Albania,208
Haiti,192
Qatar,190
Bahrain,166
Madagascar,162
Croatia,161
Mauritania,157
Malawi,152
Libya,132
Slovenia,129
Nicaragua,128
Malaysia,125
Mali,125
Luxembourg,122
Zimbabwe,122
IvoryCoast,105
Palestine,105
Nepal,95
Paraguay,93
Somalia,93
Lebanon,89
Cuba,88
EquatorialGuinea,83
Liberia,82
Lithuania,81
Angola,80
Chad,76
Montenegro,73
SierraLeone,69
Niger,69
HongKong,65
Tajikistan,63
Eswatini,63
Estonia,63
CAR,61
Congo,60
Djibouti,59
Thailand,58
BurkinaFaso,54
Syria,53
Andorra,53
Tunisia,52
Gabon,51
FrenchGuiana,50
Guinea,50
